Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kenya,KEN,2023,Agricultural land (sq. km),AG.LND.AGRI.K2,287686.669
Kenya,KEN,2022,Agricultural land (sq. km),AG.LND.AGRI.K2,287435.283
Kenya,KEN,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,286961.01
Kenya,KEN,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,286890.222
Kenya,KEN,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,286666.749
Kenya,KEN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,285898.261
Kenya,KEN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,281345.106
Kenya,KEN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,284586.194
Kenya,KEN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,283046.441
Kenya,KEN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,283130.975
Kenya,KEN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,283391.139
Kenya,KEN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,282693.798
Kenya,KEN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,279300.273
Kenya,KEN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,273867.788
Kenya,KEN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,273110.421
Kenya,KEN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,270886.948
Kenya,KEN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,270663.474
Kenya,KEN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,270540
Kenya,KEN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,270020
Kenya,KEN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,269920
Kenya,KEN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,268740
Kenya,KEN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,268180
Kenya,KEN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,268390
Kenya,KEN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,267307.723
Kenya,KEN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,269275.213
Kenya,KEN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,265012.703
Kenya,KEN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,266290.193
Kenya,KEN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,264777.684
Kenya,KEN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,272365.174
Kenya,KEN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,272422.664
Kenya,KEN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,268420.155
Kenya,KEN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,270657.645
Kenya,KEN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,268625.135
Kenya,KEN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,267472.626
Kenya,KEN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,270220.116
Kenya,KEN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,266227.606
Kenya,KEN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,263875.097
Kenya,KEN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,263172.587
Kenya,KEN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,262900.077
Kenya,KEN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,254327.568
Kenya,KEN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,254995.058
Kenya,KEN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,254912.548
Kenya,KEN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,254830.039
Kenya,KEN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,254747.529
Kenya,KEN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,254665.019
Kenya,KEN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,254582.51
Kenya,KEN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,255800
Kenya,KEN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,255780
Kenya,KEN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,255720
Kenya,KEN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,251342.835
Kenya,KEN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,251260.326
Kenya,KEN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,251177.816
Kenya,KEN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,251095.306
Kenya,KEN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,251012.797
Kenya,KEN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,250930.287
Kenya,KEN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,250847.777
Kenya,KEN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,250765.268
Kenya,KEN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,250682.758
Kenya,KEN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,250600.248
Kenya,KEN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,250517.739
Kenya,KEN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,250435.229
Kenya,KEN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,250352.719
Kenya,KEN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,250270.21
Kenya,KEN,2023,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.5263223856783
Kenya,KEN,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.4830453575056
Kenya,KEN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.4013975092459
Kenya,KEN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.3892110936528
Kenya,KEN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.5174851803854
Kenya,KEN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.5521664949056
Kenya,KEN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.9288901383398
Kenya,KEN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.6614869747445
Kenya,KEN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.5619679036477
Kenya,KEN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.747157992761
Kenya,KEN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.7928697684225
Kenya,KEN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.6703443792388
Kenya,KEN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.0740895034614
Kenya,KEN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.11958182521
Kenya,KEN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.9865096461328
Kenya,KEN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.5958372280985
Kenya,KEN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.5565720209439
Kenya,KEN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.5348771831184
Kenya,KEN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.4435112626067
Kenya,KEN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.4259408932776
Kenya,KEN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.2186105351934
Kenya,KEN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.1202164669501
Kenya,KEN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.1571142425414
Kenya,KEN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.9669541764768
Kenya,KEN,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.3126494359911
Kenya,KEN,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5637106862986
Kenya,KEN,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.7881703974418
Kenya,KEN,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.5224169800049
Kenya,KEN,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.8555669958183
Kenya,KEN,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.8656682011456
Kenya,KEN,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.1624125874126
Kenya,KEN,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.5555478441157
Kenya,KEN,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.1984283304635
Kenya,KEN,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.9959282426117
Kenya,KEN,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.4786723828935
Kenya,KEN,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.7771736303897
Kenya,KEN,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.3638291105879
Kenya,KEN,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.2403955090136
Kenya,KEN,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.1925144955547
Kenya,KEN,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6862930034789
Kenya,KEN,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.8035734617142
Kenya,KEN,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7890761499807
Kenya,KEN,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7745790139509
Kenya,KEN,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7600817022174
Kenya,KEN,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7455843904839
Kenya,KEN,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.7310872544541
Kenya,KEN,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.9450047439997
Kenya,KEN,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.9414906701339
Kenya,KEN,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.9309484485364
Kenya,KEN,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1618643918895
Kenya,KEN,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1473672558597
Kenya,KEN,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1328699441262
Kenya,KEN,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1183726323927
Kenya,KEN,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1038754963629
Kenya,KEN,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.0893781846294
Kenya,KEN,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.0748808728959
